Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2013,22.0,June 2,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,
2013,23.0,June 9,Dani Martín,"""Cero""",,,Cero,
2013,24.0,June 16,Dani Martín,"""Cero""",,,Cero,
2013,25.0,June 23,Dani Martín,"""Cero""",,,Cero,
2013,26.0,June 30,Dani Martín,"""Cero""",,,Cero,
2013,27.0,July 7,Dani Martín,"""Cero""",,,Cero,
2013,28.0,July 14,Dani Martín,"""Cero""",,,Cero,
2013,29.0,July 21,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,
2013,30.0,July 28,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,
2013,31.0,August 4,Daft Punk(feat.Pharrell Williams),"""Get Lucky""",,,Get Lucky,
2013,32.0,August 11,Robin Thicke(feat.T.I.andPharrell),"""Blurred Lines""",,,Blurred Lines,
2013,33.0,August 18,Lady Gaga,"""Applause""",,,Applause,
2013,34.0,August 25,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,35.0,September 1,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,36.0,September 8,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,37.0,September 15,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,38.0,September 22,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,39.0,September 29,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,40.0,October 6,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,41.0,October 13,Avicii,"""Wake Me Up""",,,Wake Me Up,
2013,42.0,October 20,Por Ellas,"""Color Esperanza""",,,Color Esperanza,
2013,43.0,October 27,Por Ellas,"""Color Esperanza""",,,Color Esperanza,
2013,44.0,November 3,Lady Gaga,"""Venus""",,,Venus,
2013,45.0,November 10,Lady Gaga,[89],,,,
2013,46.0,November 17,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,
2013,47.0,November 24,One Direction,"""Story of My Life""",,,Story of My Life,
2013,48.0,December 1,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,
2013,49.0,December 8,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,
2013,50.0,December 15,Miley Cyrus,"""Wrecking Ball""",,,Wrecking Ball,
2013,51.0,December 22,Kiko Rivera,"""Así Soy Yo""",,,Así Soy Yo,
2013,52.0,December 29,One Direction,"""Story of My Life""",,,Story of My Life,
2014,1.0,January 5,Avicii,"""Hey Brother""",,,Hey Brother,
2014,2.0,January 12,Avicii,"""Hey Brother""",,,Hey Brother,
2014,3.0,January 19,Enrique Iglesiasfeat.Romeo Santos,"""Loco""",,,Loco,
2014,4.0,January 26,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,5.0,February 2,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,6.0,February 9,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,7.0,February 16,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,8.0,February 23,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,9.0,March 2,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,10.0,March 9,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,11.0,March 16,David Bisbal,"""Diez Mil Maneras""",,,Diez Mil Maneras,
2014,12.0,March 23,Pharrell Williams,"""Happy""",,,Happy,
2014,13.0,March 30,Shakira,"""Boig per Tu""",,,Boig per Tu,
2014,14.0,April 6,Pharrell Williams,"""Happy""",,,Happy,
2014,15.0,April 13,Pharrell Williams,"""Happy""",,,Happy,
2014,16.0,April 20,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,
2014,17.0,April 27,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,
2014,18.0,May 4,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,
2014,19.0,May 11,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,
2014,20.0,May 18,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,
2014,21.0,May 25,Enrique Iglesiasfeat.Gente de ZonayDescemer Bueno,"""Bailando""",,,Bailando,
2014,22.0,June 1,Real Madridfeat.Redone,"""Hala Madrid ...y Nada Más""",,,Hala Madrid ...y Nada Más,
2014,23.0,June 8,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,24.0,June 15,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,25.0,June 22,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,26.0,June 29,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,27.0,July 6,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,28.0,July 13,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,29.0,July 20,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,30.0,July 27,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,31.0,August 3,Auryn,"""Puppeteer""",,,Puppeteer,
2014,32.0,August 10,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,33.0,August 17,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,34.0,August 24,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,35.0,August 31,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,36.0,September 7,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,37.0,September 14,Enrique Iglesias feat. Gente de Zona y Descemer Bueno,"""Bailando""",,,Bailando,
2014,38.0,September 21,Pablo Alborán,"""Por Fin""",,,Por Fin,
2014,39.0,September 28,Pablo Alborán,"""Por Fin""",,,Por Fin,
2014,40.0,October 5,Lilly Wood & The Prick and Robin Schulz,"""Prayer in C (Robin Schulz Radio Edit)""",,,Prayer in C,
2014,41.0,October 12,Pablo Alborán,"""Pasos de cero""",,,Pasos de cero,
2014,42.0,October 19,Pablo López,"""El mejor momento""",,,El mejor momento,
2014,43.0,October 26,Juan Magánfeat.Belinda&Lapiz Conciente,"""Si no te quisiera""",,,Si no te quisiera,
2014,44.0,November 2,Juan Magánfeat.Belinda&Lapiz Conciente,"""Si no te quisiera""",,,Si no te quisiera,
2014,45.0,November 9,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2014,46.0,November 16,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2014,47.0,November 23,Band Aid 30,"""Do They Know It's Christmas? (2014)""",,,Do They Know Its Christmas?,
2014,48.0,November 30,David Guettafeat.Sam Martin,"""Dangerous""",,,Dangerous,
2014,49.0,December 7,David Guettafeat.Sam Martin,"""Dangerous""",,,Dangerous,
2014,50.0,December 14,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2014,51.0,December 21,David Guetta feat. Sam Martin,"""Dangerous""",,,Dangerous,
2014,52.0,December 28,Meghan Trainor,"""All About That Bass""",,,All About That Bass,
2015,1.0,January 4,David GuettafeaturingSam Martin,"""Dangerous""",Melendi,"""Tocado y hundido""",Dangerous,Tocado y hundido
2015,2.0,January 11,David GuettafeaturingSam Martin,"""Dangerous""","""Stay with Me""",[5],Dangerous,
2015,3.0,January 18,David GuettafeaturingSam Martin,"""Dangerous""","""Dangerous""",[7],Dangerous,
2015,4.0,January 25,Mark RonsonfeaturingBruno Mars,"""Uptown Funk""",Melendi,"""Tocado y hundido""",Uptown Funk,Tocado y hundido
2015,5.0,February 1,Mark RonsonfeaturingBruno Mars,"""Uptown Funk""","""Dangerous""",[11],Uptown Funk,
2015,6.0,February 8,Mark RonsonfeaturingBruno Mars,Meghan Trainor,"""Lips Are Movin""",[13],Meghan Trainor,
2015,7.0,February 15,Mark RonsonfeaturingBruno Mars,Meghan Trainor,,,Meghan Trainor,
2015,8.0,February 22,Ellie Goulding,"""Love Me like You Do""","""Lips Are Movin""",,Love Me like You Do,
